date,occupation,status,count
26/07/2016,Clerical and data entry,new,21.75037346
26/07/2016,Creative and multimedia,new,31.52011539
26/07/2016,Professional services,new,2.703858239
26/07/2016,Sales and marketing support,new,11.36815536
26/07/2016,Software development and technology,new,40.93133467
26/07/2016,Writing and translation,new,14.83387421
27/07/2016,Clerical and data entry,new,22.58692629
27/07/2016,Creative and multimedia,new,30.45948591
27/07/2016,Professional services,new,2.405089373
27/07/2016,Sales and marketing support,new,11.84618555
27/07/2016,Software development and technology,new,40.8715809
27/07/2016,Writing and translation,new,14.624736
28/07/2016,Clerical and data entry,new,22.96038737
28/07/2016,Creative and multimedia,new,28.83119559
28/07/2016,Professional services,new,2.240766497
28/07/2016,Sales and marketing support,new,11.00963272
28/07/2016,Software development and technology,new,37.58512337
28/07/2016,Writing and translation,new,14.01225983
29/07/2016,Clerical and data entry,new,21.88481945
29/07/2016,Creative and multimedia,new,28.74156493
29/07/2016,Professional services,new,2.25570494
29/07/2016,Sales and marketing support,new,11.6221089
29/07/2016,Software development and technology,new,40.04996652
29/07/2016,Writing and translation,new,14.26621336
30/07/2016,Clerical and data entry,new,21.33209705
30/07/2016,Creative and multimedia,new,26.75475197
30/07/2016,Professional services,new,1.777674754
30/07/2016,Sales and marketing support,new,9.650234379
30/07/2016,Software development and technology,new,37.61500026
30/07/2016,Writing and translation,new,13.11595323
31/07/2016,Clerical and data entry,new,14.23633648
31/07/2016,Creative and multimedia,new,19.46479163
31/07/2016,Professional services,new,1.463967444
31/07/2016,Sales and marketing support,new,6.826868593
31/07/2016,Software development and technology,new,26.59042909
31/07/2016,Writing and translation,new,8.365528254
01/08/2016,Clerical and data entry,new,13.98238294
01/08/2016,Creative and multimedia,new,18.68799258
01/08/2016,Professional services,new,1.344459898
01/08/2016,Sales and marketing support,new,6.692422603
01/08/2016,Software development and technology,new,24.40941637
01/08/2016,Writing and translation,new,7.827744295
02/08/2016,Clerical and data entry,new,16.68624118
02/08/2016,Creative and multimedia,new,28.65193427
02/08/2016,Professional services,new,2.3453356
02/08/2016,Sales and marketing support,new,10.87518673
02/08/2016,Software development and technology,new,35.80744862
02/08/2016,Writing and translation,new,13.53422964
03/08/2016,Clerical and data entry,new,20.88394375
03/08/2016,Creative and multimedia,new,30.0412095
03/08/2016,Professional services,new,2.375212486
03/08/2016,Sales and marketing support,new,12.2794004
03/08/2016,Software development and technology,new,41.64837995
03/08/2016,Writing and translation,new,15.64055015
04/08/2016,Clerical and data entry,new,19.50960696
04/08/2016,Creative and multimedia,new,28.68181116
04/08/2016,Professional services,new,2.420027816
04/08/2016,Sales and marketing support,new,12.24952352
04/08/2016,Software development and technology,new,42.99283985
04/08/2016,Writing and translation,new,15.14758152
05/08/2016,Clerical and data entry,new,18.3145315
05/08/2016,Creative and multimedia,new,26.88919796
05/08/2016,Professional services,new,1.822490084
05/08/2016,Sales and marketing support,new,10.69592541
05/08/2016,Software development and technology,new,44.36717663
05/08/2016,Writing and translation,new,12.87693813
06/08/2016,Clerical and data entry,new,19.55442229
06/08/2016,Creative and multimedia,new,24.03595529
06/08/2016,Professional services,new,1.613351878
06/08/2016,Sales and marketing support,new,9.695049709
06/08/2016,Software development and technology,new,37.68969247
06/08/2016,Writing and translation,new,13.36990676
07/08/2016,Clerical and data entry,new,13.39978365
07/08/2016,Creative and multimedia,new,17.50785556
07/08/2016,Professional services,new,0.970998815
07/08/2016,Sales and marketing support,new,5.825992891
07/08/2016,Software development and technology,new,25.48498429
07/08/2016,Writing and translation,new,8.783804667
08/08/2016,Clerical and data entry,new,12.04038531
08/08/2016,Creative and multimedia,new,16.47710297
08/08/2016,Professional services,new,1.299644568
08/08/2016,Sales and marketing support,new,7.678359862
08/08/2016,Software development and technology,new,23.82681708
08/08/2016,Writing and translation,new,8.470097357
09/08/2016,Clerical and data entry,new,18.10539329
09/08/2016,Creative and multimedia,new,27.03858239
09/08/2016,Professional services,new,2.509658476
09/08/2016,Sales and marketing support,new,11.2785247
09/08/2016,Software development and technology,new,37.48055427
09/08/2016,Writing and translation,new,14.66955133
10/08/2016,Clerical and data entry,new,20.6598671
10/08/2016,Creative and multimedia,new,30.32503992
10/08/2016,Professional services,new,2.3453356
10/08/2016,Sales and marketing support,new,12.60804615
10/08/2016,Software development and technology,new,45.78632875
10/08/2016,Writing and translation,new,17.46304023
11/08/2016,Clerical and data entry,new,19.43491475
11/08/2016,Creative and multimedia,new,28.5921805
11/08/2016,Professional services,new,2.56941225
11/08/2016,Sales and marketing support,new,11.47272446
11/08/2016,Software development and technology,new,43.26173183
11/08/2016,Writing and translation,new,14.99819708
12/08/2016,Clerical and data entry,new,39.54205944
12/08/2016,Creative and multimedia,new,31.41554628
12/08/2016,Professional services,new,2.21088961
12/08/2016,Sales and marketing support,new,12.14495441
12/08/2016,Software development and technology,new,44.5613764
12/08/2016,Writing and translation,new,15.68536548
13/08/2016,Clerical and data entry,new,18.91206923
13/08/2016,Creative and multimedia,new,27.26265904
13/08/2016,Professional services,new,1.493844331
13/08/2016,Sales and marketing support,new,9.650234379
