country,city,state,latitude,longitude,location
USA,Lime Ridge,WI,43.467759,-90.154849,USA Lime Ridge WI
DEU,Ribnitz,Mecklenburg,54.252211,12.439749,DEU Ribnitz Mecklenburg
DEU,Nienhagen,Mecklenburg,54.161424,11.953062,DEU Nienhagen Mecklenburg
DEU,Neubrunn,TH,50.49939,10.468045,DEU Neubrunn TH
DEU,Limbach,SA,50.584022,12.252519,DEU Limbach SA
DEU,Roda,TH,50.93123,11.016121,DEU Roda TH
DEU,Apolda,TH,51.02601,11.51555,DEU Apolda TH
DEU,Leisnig,SA,51.15772,12.928458,DEU Leisnig SA
DEU,MÃ¼hlhausen,TH,51.209865,10.4571,DEU MÃ¼hlhausen TH
USA,Texas,various places,33.079122,-96.730983,USA Texas various places
DEU,Remptendorf,TH,50.528715,11.659751,DEU Remptendorf TH
